timestamp,home,pts_home,away,pts_away,tv,notes
2013-08-29 19:00:00,Illinois State,28.0,Ball State,51.0,,
2013-08-29 19:00:00,Tulsa,7.0,Bowling Green State,34.0,,
2013-08-29 19:00:00,Akron,7.0,Central Florida,38.0,,
2013-08-29 22:30:00,Rutgers,51.0,Fresno State,52.0,,
2013-08-29 19:00:00,Indiana State,35.0,Indiana,73.0,,
2013-08-29 18:00:00,Liberty,10.0,Kent State,17.0,,
2013-08-29 19:30:00,Western Carolina,24.0,Middle Tennessee State,45.0,,
2013-08-29 19:00:00,Nevada-Las Vegas,23.0,Minnesota,51.0,,
2013-08-29 21:15:00,Mississippi,39.0,Vanderbilt,35.0,,
2013-08-29 22:00:00,Sacramento State,0.0,San Jose State,24.0,,
2013-08-29 18:00:00,North Carolina,10.0,South Carolina,27.0,,
2013-08-29 23:00:00,Southern California,30.0,Hawaii,13.0,,
2013-08-29 19:30:00,Southern Utah,22.0,South Alabama,21.0,,
2013-08-29 19:30:00,Towson,33.0,Connecticut,18.0,,
2013-08-29 20:00:00,Jackson State,7.0,Tulane,34.0,,
2013-08-29 20:00:00,Utah State,26.0,Utah,30.0,,
2013-08-29 18:30:00,Presbyterian,7.0,Wake Forest,31.0,,
2013-08-30 22:00:00,Northern Arizona,0.0,Arizona,35.0,,
2013-08-30 19:00:00,Morgan State,12.0,Army,28.0,,
2013-08-30 20:30:00,Southern,13.0,Houston,62.0,,
2013-08-30 20:00:00,Florida Atlantic,6.0,Miami (FL),34.0,,
2013-08-30 20:00:00,Western Michigan,13.0,Michigan State,26.0,,
2013-08-30 20:30:00,North Dakota State,24.0,Kansas State,21.0,,
2013-08-30 19:00:00,Samford,31.0,Georgia State,21.0,,
2013-08-30 20:00:00,Texas Tech,41.0,Southern Methodist,23.0,,
2013-08-31 15:00:00,Colgate,13.0,Air Force,38.0,,
2013-08-31 17:30:00,Virginia Tech,10.0,Alabama,35.0,,"Georgia Dome - Atlanta, GA"
2013-08-31 16:00:00,Louisiana-Lafayette,14.0,Arkansas,34.0,,
2013-08-31 19:00:00,Arkansas-Pine Bluff,11.0,Arkansas State,62.0,,
2013-08-31 19:00:00,Washington State,24.0,Auburn,31.0,,
2013-08-31 19:30:00,Wofford,3.0,Baylor,69.0,,
2013-08-31 12:00:00,Villanova,14.0,Boston College,24.0,,
2013-08-31 12:00:00,Purdue,7.0,Cincinnati,42.0,,
2013-08-31 20:00:00,Georgia,35.0,Clemson,38.0,,
2013-08-31 16:00:00,North Carolina Central,0.0,Duke,45.0,,
2013-08-31 19:00:00,Old Dominion,38.0,East Carolina,52.0,,
2013-08-31 20:00:00,Eastern Illinois,40.0,San Diego State,19.0,,
2013-08-31 18:00:00,Howard,24.0,Eastern Michigan,34.0,,
2013-08-31 18:00:00,Eastern Washington,49.0,Oregon State,46.0,,
2013-08-31 12:21:00,Toledo,6.0,Florida,24.0,,
2013-08-31 12:00:00,Elon,0.0,Georgia Tech,70.0,,
2013-08-31 12:00:00,Southern Illinois,34.0,Illinois,42.0,,
2013-08-31 21:00:00,Texas Christian,27.0,Louisiana State,37.0,,"AT&T Stadium - Arlington, TX"
2013-08-31 19:00:00,Miami (OH),14.0,Marshall,52.0,,
2013-08-31 12:30:00,Florida International,10.0,Maryland,43.0,,
2013-08-31 19:00:00,McNeese State,53.0,South Florida,21.0,,
2013-08-31 15:30:00,Central Michigan,9.0,Michigan,59.0,,
2013-08-31 19:00:00,Murray State,14.0,Missouri,58.0,,
2013-08-31 20:00:00,Wyoming,34.0,Nebraska,37.0,,
2013-08-31 12:30:00,Louisiana Tech,14.0,North Carolina State,40.0,,
2013-08-31 19:00:00,Idaho,6.0,North Texas,40.0,,
2013-08-31 15:30:00,Northern Illinois,30.0,Iowa,27.0,,
2013-08-31 20:00:00,Northern Iowa,28.0,Iowa State,20.0,,
2013-08-31 22:30:00,Northwestern,44.0,California,30.0,,
2013-08-31 15:41:00,Temple,6.0,Notre Dame,28.0,,
2013-08-31 12:00:00,Buffalo,20.0,Ohio State,40.0,,
2013-08-31 19:00:00,Louisiana-Monroe,0.0,Oklahoma,34.0,,
2013-08-31 15:30:00,Mississippi State,3.0,Oklahoma State,21.0,,"Reliant Stadium - Houston, TX"
