Date,Away,AwayPoints,Home,HomePoints
2014-08-27 00:00:00,Abilene Christian,37,Georgia State,38
2014-08-28 00:00:00,Howard,0,Akron,41
2014-08-28 00:00:00,Weber State,14,(19) Arizona State,45
2014-08-28 00:00:00,Chattanooga,16,Central Michigan,20
2014-08-28 00:00:00,Wake Forest,10,Louisiana-Monroe,17
2014-08-28 00:00:00,Eastern Illinois,20,Minnesota,42
2014-08-28 00:00:00,Boise State,13,(18) Mississippi,35
2014-08-28 00:00:00,Cal Poly,10,New Mexico State,28
2014-08-28 00:00:00,Presbyterian,3,Northern Illinois,55
2014-08-28 00:00:00,Washington State,38,Rutgers,41
2014-08-28 00:00:00,North Dakota,10,San Jose State,42
2014-08-28 00:00:00,Temple,37,Vanderbilt,7
2014-08-28 00:00:00,(21) Texas A&M,52,(9) South Carolina,28
2014-08-28 00:00:00,Tulane,31,Tulsa,38
2014-08-28 00:00:00,Idaho State,14,Utah,56
2014-08-29 00:00:00,Nevada-Las Vegas,13,Arizona,58
2014-08-29 00:00:00,Brigham Young,35,Connecticut,10
2014-08-29 00:00:00,Colorado,17,Colorado State,31
2014-08-29 00:00:00,Jacksonville State,7,(8) Michigan State,45
2014-08-29 00:00:00,Villanova,26,Syracuse,27
2014-08-29 00:00:00,Texas-San Antonio,27,Houston,7
2014-08-29 00:00:00,Bowling Green State,31,Western Kentucky,59
2014-08-30 00:00:00,Nicholls State,16,Air Force,44
2014-08-30 00:00:00,West Virginia,23,(2) Alabama,33
2014-08-30 00:00:00,Troy,10,Alabama-Birmingham,48
2014-08-30 00:00:00,Montana State,10,Arkansas State,37
2014-08-30 00:00:00,Arkansas,21,(6) Auburn,45
2014-08-30 00:00:00,Colgate,10,Ball State,30
2014-08-30 00:00:00,Bethune-Cookman,14,Florida International,12
2014-08-30 00:00:00,Massachusetts,7,Boston College,30
2014-08-30 00:00:00,Duquesne,28,Buffalo,38
2014-08-30 00:00:00,California,31,Northwestern,24
2014-08-30 00:00:00,Elon,13,Duke,52
2014-08-30 00:00:00,North Carolina Central,7,East Carolina,52
2014-08-30 00:00:00,Morgan State,28,Eastern Michigan,31
2014-08-30 00:00:00,Oklahoma State,31,(1) Florida State,37
2014-08-30 00:00:00,(16) Clemson,21,(12) Georgia,45
2014-08-30 00:00:00,Wofford,19,Georgia Tech,38
2014-08-30 00:00:00,Youngstown State,17,Illinois,28
2014-08-30 00:00:00,Indiana State,10,Indiana,28
2014-08-30 00:00:00,Northern Iowa,23,Iowa,31
2014-08-30 00:00:00,Stephen F. Austin,16,(20) Kansas State,55
2014-08-30 00:00:00,Tennessee-Martin,14,Kentucky,59
2014-08-30 00:00:00,(14) Wisconsin,24,(13) Louisiana State,28
2014-08-30 00:00:00,Southern,6,Louisiana-Lafayette,45
2014-08-30 00:00:00,Marshall,42,Miami (OH),27
2014-08-30 00:00:00,James Madison,7,Maryland,52
2014-08-30 00:00:00,Austin Peay,0,Memphis,63
2014-08-30 00:00:00,Appalachian State,14,Michigan,52
2014-08-30 00:00:00,Savannah State,7,Middle Tennessee State,61
2014-08-30 00:00:00,Southern Mississippi,0,Mississippi State,49
2014-08-30 00:00:00,South Dakota State,18,(24) Missouri,38
2014-08-30 00:00:00,Florida Atlantic,7,(22) Nebraska,55
2014-08-30 00:00:00,Southern Utah,19,Nevada,28
2014-08-30 00:00:00,Liberty,29,(23) North Carolina,56
2014-08-30 00:00:00,Georgia Southern,23,North Carolina State,24
2014-08-30 00:00:00,North Dakota State,34,Iowa State,14
2014-08-30 00:00:00,Rice,17,(17) Notre Dame,48
2014-08-30 00:00:00,Ohio,17,Kent State,14
2014-08-30 00:00:00,Navy,17,(5) Ohio State,34
2014-08-30 00:00:00,Louisiana Tech,16,(4) Oklahoma,48
2014-08-30 00:00:00,Hampton,28,Old Dominion,41
2014-08-30 00:00:00,South Dakota,13,(3) Oregon,62
2014-08-30 00:00:00,Portland State,14,Oregon State,29
2014-08-30 00:00:00,Central Florida,24,Penn State,26
2014-08-30 00:00:00,Delaware,0,Pittsburgh,62
2014-08-30 00:00:00,Western Michigan,34,Purdue,43
2014-08-30 00:00:00,Northern Arizona,7,San Diego State,38
2014-08-30 00:00:00,Western Carolina,31,South Florida,36
2014-08-30 00:00:00,Fresno State,13,(15) Southern California,52
2014-08-30 00:00:00,California-Davis,0,(11) Stanford,45
2014-08-30 00:00:00,North Texas,7,Texas,38
2014-08-30 00:00:00,Samford,14,Texas Christian,48
2014-08-30 00:00:00,Arkansas-Pine Bluff,0,Texas State,65
2014-08-30 00:00:00,Central Arkansas,35,Texas Tech,42
2014-08-30 00:00:00,Texas-El Paso,31,New Mexico,24
2014-08-30 00:00:00,New Hampshire,20,Toledo,54
2014-08-30 00:00:00,(7) UCLA,28,Virginia,20
2014-08-30 00:00:00,William & Mary,9,Virginia Tech,34
2014-08-30 00:00:00,(25) Washington,17,Hawaii,16
2014-08-30 00:00:00,Montana,12,Wyoming,17
2014-08-31 00:00:00,Southern Methodist,0,(10) Baylor,45
2014-08-31 00:00:00,Utah State,7,Tennessee,38
2014-09-01 00:00:00,Miami (FL),13,(25) Louisville,31
2014-09-04 00:00:00,Arizona,26,Texas-San Antonio,23
2014-09-05 00:00:00,Washington State,13,Nevada,24
2014-09-05 00:00:00,Pittsburgh,30,Boston College,20
2014-09-06 00:00:00,Florida Atlantic,0,(2) Alabama,41
2014-09-06 00:00:00,Campbell,0,Appalachian State,66
2014-09-06 00:00:00,(17) Arizona State,58,New Mexico,23
2014-09-06 00:00:00,Nicholls State,7,Arkansas,73
2014-09-06 00:00:00,Buffalo,39,Army,47
2014-09-06 00:00:00,San Jose State,13,(5) Auburn,59
2014-09-06 00:00:00,Northwestern State,6,(10) Baylor,70
2014-09-06 00:00:00,Colorado State,24,Boise State,37
2014-09-06 00:00:00,Virginia Military Institute,7,Bowling Green State,48
2014-09-06 00:00:00,Brigham Young,41,Texas,7
2014-09-06 00:00:00,Sacramento State,14,California,55
2014-09-06 00:00:00,Central Michigan,38,Purdue,17
2014-09-06 00:00:00,South Carolina State,7,(23) Clemson,73
2014-09-06 00:00:00,Massachusetts,38,Colorado,41
2014-09-06 00:00:00,Stony Brook,16,Connecticut,19
2014-09-06 00:00:00,Duke,34,Troy,17
2014-09-06 00:00:00,Eastern Kentucky,17,Miami (OH),10
2014-09-06 00:00:00,Eastern Michigan,0,Florida,65
2014-09-06 00:00:00,Wagner,3,Florida International,34
2014-09-06 00:00:00,Citadel,12,(1) Florida State,37
2014-09-06 00:00:00,Savannah State,9,Georgia Southern,83
2014-09-06 00:00:00,Georgia Tech,38,Tulane,21
2014-09-06 00:00:00,Grambling State,0,Houston,47
2014-09-06 00:00:00,Western Kentucky,34,Illinois,42
2014-09-06 00:00:00,Ball State,13,Iowa,17
2014-09-06 00:00:00,Southeast Missouri State,28,Kansas,34
2014-09-06 00:00:00,(20) Kansas State,32,Iowa State,28
2014-09-06 00:00:00,Ohio,3,Kentucky,20
2014-09-06 00:00:00,Sam Houston State,0,(12) Louisiana State,56
2014-09-06 00:00:00,Louisiana Tech,48,Louisiana-Lafayette,20
2014-09-06 00:00:00,Idaho,31,Louisiana-Monroe,38
2014-09-06 00:00:00,Murray State,21,(25) Louisville,66
2014-09-06 00:00:00,Rhode Island,7,Marshall,48
2014-09-06 00:00:00,Maryland,24,South Florida,17
2014-09-06 00:00:00,Florida A&M,7,Miami (FL),41
2014-09-06 00:00:00,Middle Tennessee State,24,Minnesota,35
2014-09-06 00:00:00,Vanderbilt,3,(15) Mississippi,41
2014-09-06 00:00:00,Alabama-Birmingham,34,Mississippi State,47
2014-09-06 00:00:00,(24) Missouri,49,Toledo,24
2014-09-06 00:00:00,Navy,31,Temple,24
2014-09-06 00:00:00,McNeese State,24,(19) Nebraska,31
2014-09-06 00:00:00,Northern Colorado,12,Nevada-Las Vegas,13
2014-09-06 00:00:00,New Mexico State,34,Georgia State,31
2014-09-06 00:00:00,San Diego State,27,(21) North Carolina,31
2014-09-06 00:00:00,Old Dominion,34,North Carolina State,46
2014-09-06 00:00:00,Southern Methodist,6,North Texas,43
2014-09-06 00:00:00,Northern Illinois,23,Northwestern,15
2014-09-06 00:00:00,Michigan,0,(16) Notre Dame,31
2014-09-06 00:00:00,(4) Oklahoma,52,Tulsa,7
2014-09-06 00:00:00,Missouri State,23,Oklahoma State,40
2014-09-06 00:00:00,(7) Michigan State,27,(3) Oregon,46
2014-09-06 00:00:00,Oregon State,38,Hawaii,30
2014-09-06 00:00:00,Akron,3,Penn State,21
2014-09-06 00:00:00,Howard,25,Rutgers,38
2014-09-06 00:00:00,South Alabama,23,Kent State,13
2014-09-06 00:00:00,East Carolina,23,(21) South Carolina,33
2014-09-06 00:00:00,(14) Southern California,13,(13) Stanford,10
2014-09-06 00:00:00,Alcorn State,20,Southern Mississippi,26
2014-09-06 00:00:00,Arkansas State,19,Tennessee,34
2014-09-06 00:00:00,Lamar,3,(9) Texas A&M,73
2014-09-06 00:00:00,Texas Tech,30,Texas-El Paso,26
2014-09-06 00:00:00,Memphis,35,(11) UCLA,42
2014-09-06 00:00:00,Fresno State,27,Utah,59
2014-09-06 00:00:00,Idaho State,20,Utah State,40
2014-09-06 00:00:00,Richmond,13,Virginia,45
2014-09-06 00:00:00,Virginia Tech,35,(8) Ohio State,21
2014-09-06 00:00:00,Gardner-Webb,7,Wake Forest,23
2014-09-06 00:00:00,Eastern Washington,52,Washington,59
2014-09-06 00:00:00,Towson,0,West Virginia,54
2014-09-06 00:00:00,Western Illinois,3,(18) Wisconsin,37
2014-09-06 00:00:00,Air Force,13,Wyoming,17
2014-09-11 00:00:00,Houston,25,(25) Brigham Young,33
2014-09-11 00:00:00,Louisiana Tech,42,North Texas,21
2014-09-12 00:00:00,(8) Baylor,63,Buffalo,21
2014-09-12 00:00:00,Toledo,34,Cincinnati,58
2014-09-13 00:00:00,Abilene Christian,38,Troy,35
